"","일자","분기","승차인원","하차인원"
"1","2015-01-08","Q1",2286.5154,2275.31959
"2","2015-02-06","Q1",2130.26605,2119.36213
"3","2015-03-11","Q1",1841.03144,1831.67268
"4","2015-12-04","Q1",2234.97154,2226.00581
"5","2015-04-08","Q2",2332.01371,2321.74672
"6","2015-05-08","Q2",2299.39122,2288.35641
"7","2015-06-08","Q2",2285.04029,2273.82772
"8","2015-07-08","Q3",1972.83763,1965.79982
"9","2015-08-08","Q3",2120.39291,2111.4882
"10","2015-09-08","Q3",2046.55674,2036.99651
"11","2015-10-08","Q4",2090.85332,2081.93164
"12","2015-11-08","Q4",2283.56665,2273.65978
