"","날짜","월","요일","지점","강수량.mm.","tmp","tmp1","gubun"
"5","2016-01-05",1,"화",108,0,"주중","Q1","X_비안옴"
"12","2016-01-12",1,"화",108,0,"주중","Q1","X_비안옴"
"19","2016-01-19",1,"화",108,0,"주중","Q1","X_비안옴"
"26","2016-01-26",1,"화",108,0.3,"주중","Q1","O_비옴"
"33","2016-02-02",2,"화",108,0,"주중","Q1","X_비안옴"
"40","2016-02-09",2,"화",108,0,"주중","Q1","X_비안옴"
"47","2016-02-16",2,"화",108,0.8,"주중","Q1","O_비옴"
"54","2016-02-23",2,"화",108,0.9,"주중","Q1","O_비옴"
"61","2016-03-01",3,"화",108,0,"주중","Q2","X_비안옴"
"68","2016-03-08",3,"화",108,0,"주중","Q2","X_비안옴"
"75","2016-03-15",3,"화",108,0,"주중","Q2","X_비안옴"
"82","2016-03-22",3,"화",108,0,"주중","Q2","X_비안옴"
"89","2016-03-29",3,"화",108,0.1,"주중","Q2","O_비옴"
"96","2016-04-05",4,"화",108,0,"주중","Q2","X_비안옴"
"103","2016-04-12",4,"화",108,0,"주중","Q2","X_비안옴"
"110","2016-04-19",4,"화",108,0,"주중","Q2","X_비안옴"
"117","2016-04-26",4,"화",108,0,"주중","Q2","X_비안옴"
"124","2016-05-03",5,"화",108,27,"주중","Q2","O_비옴"
"131","2016-05-10",5,"화",108,13.5,"주중","Q2","O_비옴"
"138","2016-05-17",5,"화",108,0,"주중","Q2","X_비안옴"
"145","2016-05-24",5,"화",108,38.5,"주중","Q2","O_비옴"
"152","2016-05-31",5,"화",108,0,"주중","Q2","X_비안옴"
"159","2016-06-07",6,"화",108,0.1,"주중","Q2","O_비옴"
"166","2016-06-14",6,"화",108,0,"주중","Q2","X_비안옴"
"173","2016-06-21",6,"화",108,0,"주중","Q2","X_비안옴"
"180","2016-06-28",6,"화",108,0,"주중","Q2","X_비안옴"
"187","2016-07-05",7,"화",108,100.5,"주중","Q3","O_비옴"
"194","2016-07-12",7,"화",108,3,"주중","Q3","O_비옴"
"201","2016-07-19",7,"화",108,0,"주중","Q3","X_비안옴"
"208","2016-07-26",7,"화",108,0,"주중","Q3","X_비안옴"
"215","2016-08-02",8,"화",108,2,"주중","Q3","O_비옴"
"222","2016-08-09",8,"화",108,1,"주중","Q3","O_비옴"
"229","2016-08-16",8,"화",108,0.5,"주중","Q3","O_비옴"
"236","2016-08-23",8,"화",108,8,"주중","Q3","O_비옴"
"243","2016-08-30",8,"화",108,0,"주중","Q3","X_비안옴"
"250","2016-09-06",9,"화",108,0,"주중","Q3","X_비안옴"
"257","2016-09-13",9,"화",108,0,"주중","Q3","X_비안옴"
"264","2016-09-20",9,"화",108,0,"주중","Q3","X_비안옴"
"271","2016-09-27",9,"화",108,13.5,"주중","Q3","O_비옴"
"278","2016-10-04",10,"화",108,0,"주중","Q4","X_비안옴"
"285","2016-10-11",10,"화",108,0,"주중","Q4","X_비안옴"
"292","2016-10-18",10,"화",108,0,"주중","Q4","X_비안옴"
"299","2016-10-25",10,"화",108,37,"주중","Q4","O_비옴"
"306","2016-11-01",11,"화",108,0,"주중","Q4","X_비안옴"
"313","2016-11-08",11,"화",108,0.5,"주중","Q4","O_비옴"
"320","2016-11-15",11,"화",108,0,"주중","Q4","X_비안옴"
"327","2016-11-22",11,"화",108,0.2,"주중","Q4","O_비옴"
"334","2016-11-29",11,"화",108,0,"주중","Q4","X_비안옴"
"341","2016-12-06",12,"화",108,0,"주중","Q4","X_비안옴"
"348","2016-12-13",12,"화",108,0,"주중","Q4","X_비안옴"
"355","2016-12-20",12,"화",108,0,"주중","Q4","X_비안옴"
"362","2016-12-27",12,"화",108,0.5,"주중","Q4","O_비옴"
"371","2016-01-05",1,"화",159,0.2,"주중","Q1","O_비옴"
"378","2016-01-12",1,"화",159,0,"주중","Q1","X_비안옴"
"385","2016-01-19",1,"화",159,0,"주중","Q1","X_비안옴"
"392","2016-01-26",1,"화",159,0,"주중","Q1","X_비안옴"
"399","2016-02-02",2,"화",159,0,"주중","Q1","X_비안옴"
"406","2016-02-09",2,"화",159,0,"주중","Q1","X_비안옴"
"413","2016-02-16",2,"화",159,0,"주중","Q1","X_비안옴"
"420","2016-02-23",2,"화",159,0,"주중","Q1","X_비안옴"
"427","2016-03-01",3,"화",159,0,"주중","Q2","X_비안옴"
"434","2016-03-08",3,"화",159,6.6,"주중","Q2","O_비옴"
"441","2016-03-15",3,"화",159,0,"주중","Q2","X_비안옴"
"448","2016-03-22",3,"화",159,0,"주중","Q2","X_비안옴"
"455","2016-03-29",3,"화",159,0,"주중","Q2","X_비안옴"
"462","2016-04-05",4,"화",159,0,"주중","Q2","X_비안옴"
"469","2016-04-12",4,"화",159,0,"주중","Q2","X_비안옴"
"476","2016-04-19",4,"화",159,0,"주중","Q2","X_비안옴"
"483","2016-04-26",4,"화",159,1.6,"주중","Q2","O_비옴"
"490","2016-05-03",5,"화",159,40.7,"주중","Q2","O_비옴"
"497","2016-05-10",5,"화",159,22.3,"주중","Q2","O_비옴"
"504","2016-05-17",5,"화",159,0,"주중","Q2","X_비안옴"
"511","2016-05-24",5,"화",159,24.7,"주중","Q2","O_비옴"
"518","2016-05-31",5,"화",159,0,"주중","Q2","X_비안옴"
"525","2016-06-07",6,"화",159,0,"주중","Q2","X_비안옴"
"532","2016-06-14",6,"화",159,0,"주중","Q2","X_비안옴"
"539","2016-06-21",6,"화",159,3.1,"주중","Q2","O_비옴"
"546","2016-06-28",6,"화",159,0,"주중","Q2","X_비안옴"
"553","2016-07-05",7,"화",159,1,"주중","Q3","O_비옴"
"560","2016-07-12",7,"화",159,6.3,"주중","Q3","O_비옴"
"567","2016-07-19",7,"화",159,0,"주중","Q3","X_비안옴"
"574","2016-07-26",7,"화",159,0,"주중","Q3","X_비안옴"
"581","2016-08-02",8,"화",159,0.6,"주중","Q3","O_비옴"
"588","2016-08-09",8,"화",159,0,"주중","Q3","X_비안옴"
"595","2016-08-16",8,"화",159,21.3,"주중","Q3","O_비옴"
"602","2016-08-23",8,"화",159,0.9,"주중","Q3","O_비옴"
"609","2016-08-30",8,"화",159,0,"주중","Q3","X_비안옴"
"616","2016-09-06",9,"화",159,0,"주중","Q3","X_비안옴"
"623","2016-09-13",9,"화",159,0,"주중","Q3","X_비안옴"
"630","2016-09-20",9,"화",159,0,"주중","Q3","X_비안옴"
"637","2016-09-27",9,"화",159,3.7,"주중","Q3","O_비옴"
"644","2016-10-04",10,"화",159,0.1,"주중","Q4","O_비옴"
"651","2016-10-11",10,"화",159,0,"주중","Q4","X_비안옴"
"658","2016-10-18",10,"화",159,0,"주중","Q4","X_비안옴"
"665","2016-10-25",10,"화",159,1.8,"주중","Q4","O_비옴"
"672","2016-11-01",11,"화",159,0,"주중","Q4","X_비안옴"
"679","2016-11-08",11,"화",159,0.7,"주중","Q4","O_비옴"
"686","2016-11-15",11,"화",159,0,"주중","Q4","X_비안옴"
"693","2016-11-22",11,"화",159,0,"주중","Q4","X_비안옴"
"700","2016-11-29",11,"화",159,0,"주중","Q4","X_비안옴"
"707","2016-12-06",12,"화",159,0,"주중","Q4","X_비안옴"
"714","2016-12-13",12,"화",159,0,"주중","Q4","X_비안옴"
"721","2016-12-20",12,"화",159,1.1,"주중","Q4","O_비옴"
"728","2016-12-27",12,"화",159,2.6,"주중","Q4","O_비옴"
